
2025/04/09 (05:07:06) | ===> btop++ v.1.4.0
2025/04/09 (05:07:06) | INFO: Logger set to INFO
2025/04/09 (05:07:06) | INFO: Running on /dev/pts/0
2025/04/09 (05:07:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/04/09 (05:07:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/04/09 (05:07:12) | INFO: Quitting! Runtime: 00:00:06

2025/04/09 (19:27:20) | ===> btop++ v.1.4.0
2025/04/09 (19:27:20) | INFO: Logger set to INFO
2025/04/09 (19:27:20) | INFO: Running on /dev/pts/4
2025/04/09 (19:27:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/04/09 (19:27:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/04/09 (19:28:26) | INFO: Quitting! Runtime: 00:01:06

2025/04/09 (21:41:24) | ===> btop++ v.1.4.0
2025/04/09 (21:41:24) | INFO: Logger set to INFO
2025/04/09 (21:41:24) | INFO: Running on /dev/pts/0
2025/04/09 (21:41:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/04/09 (21:41:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/04/09 (21:41:26) | INFO: Quitting! Runtime: 00:00:02

2025/04/11 (00:42:57) | ===> btop++ v.1.4.0
2025/04/11 (00:42:57) | INFO: Logger set to INFO
2025/04/11 (00:42:57) | INFO: Running on /dev/pts/0
2025/04/11 (00:42:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/04/11 (00:42:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/04/11 (00:45:31) | INFO: Quitting! Runtime: 00:02:34

2025/04/11 (00:47:39) | ===> btop++ v.1.4.0
2025/04/11 (00:47:39) | INFO: Logger set to INFO
2025/04/11 (00:47:39) | INFO: Running on /dev/pts/0
2025/04/11 (00:47:39) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
